Metric,Value,Year
investments,{},2024
opex,{},2024
lcoe,{},2024
investments,{},2025
opex,{},2025
lcoe,{},2025
investments,{},2026
opex,{},2026
lcoe,{},2026
investments,{},2027
opex,{},2027
lcoe,{},2027
investments,{},2028
opex,{},2028
lcoe,{},2028
investments,{},2029
opex,{},2029
lcoe,{},2029
investments,{},2030
opex,{},2030
lcoe,{},2030
investments,{},2031
opex,{},2031
lcoe,{},2031
investments,{},2032
opex,{},2032
lcoe,{},2032
investments,{},2033
opex,{},2033
lcoe,{},2033
investments,{},2034
opex,{},2034
lcoe,{},2034
investments,{},2035
opex,{},2035
lcoe,{},2035
investments,{},2036
opex,{},2036
lcoe,{},2036
investments,{},2037
opex,{},2037
lcoe,{},2037
investments,{},2038
opex,{},2038
lcoe,{},2038
investments,{},2039
opex,{},2039
lcoe,{},2039
investments,{},2040
opex,{},2040
lcoe,{},2040
investments,{},2041
opex,{},2041
lcoe,{},2041
investments,{},2042
opex,{},2042
lcoe,{},2042
investments,{},2043
opex,{},2043
lcoe,{},2043
investments,{},2044
opex,{},2044
lcoe,{},2044
investments,{},2045
opex,{},2045
lcoe,{},2045
investments,{},2046
opex,{},2046
lcoe,{},2046
investments,{},2047
opex,{},2047
lcoe,{},2047
investments,{},2048
opex,{},2048
lcoe,{},2048
investments,{},2049
opex,{},2049
lcoe,{},2049
investments,{},2050
opex,{},2050
lcoe,{},2050
