Metric,Value,Year
emissions,0.0,2024
water_use,0.0,2024
land_use,0.0,2024
emissions,0.0,2025
water_use,0.0,2025
land_use,0.0,2025
emissions,0.0,2026
water_use,0.0,2026
land_use,0.0,2026
emissions,0.0,2027
water_use,0.0,2027
land_use,0.0,2027
emissions,0.0,2028
water_use,0.0,2028
land_use,0.0,2028
emissions,0.0,2029
water_use,0.0,2029
land_use,0.0,2029
emissions,0.0,2030
water_use,0.0,2030
land_use,0.0,2030
emissions,0.0,2031
water_use,0.0,2031
land_use,0.0,2031
emissions,0.0,2032
water_use,0.0,2032
land_use,0.0,2032
emissions,0.0,2033
water_use,0.0,2033
land_use,0.0,2033
emissions,0.0,2034
water_use,0.0,2034
land_use,0.0,2034
emissions,0.0,2035
water_use,0.0,2035
land_use,0.0,2035
emissions,0.0,2036
water_use,0.0,2036
land_use,0.0,2036
emissions,0.0,2037
water_use,0.0,2037
land_use,0.0,2037
emissions,0.0,2038
water_use,0.0,2038
land_use,0.0,2038
emissions,0.0,2039
water_use,0.0,2039
land_use,0.0,2039
emissions,0.0,2040
water_use,0.0,2040
land_use,0.0,2040
emissions,0.0,2041
water_use,0.0,2041
land_use,0.0,2041
emissions,0.0,2042
water_use,0.0,2042
land_use,0.0,2042
emissions,0.0,2043
water_use,0.0,2043
land_use,0.0,2043
emissions,0.0,2044
water_use,0.0,2044
land_use,0.0,2044
emissions,0.0,2045
water_use,0.0,2045
land_use,0.0,2045
emissions,0.0,2046
water_use,0.0,2046
land_use,0.0,2046
emissions,0.0,2047
water_use,0.0,2047
land_use,0.0,2047
emissions,0.0,2048
water_use,0.0,2048
land_use,0.0,2048
emissions,0.0,2049
water_use,0.0,2049
land_use,0.0,2049
emissions,0.0,2050
water_use,0.0,2050
land_use,0.0,2050
